id,kode,nama,kecamatan_id
1,001.01,AIMERE,1
2,001.02,AIMERE TIMUR,1
3,001.03,BINAWALI,1
4,001.04,FOA,1
5,001.05,HEAWEA,1
6,001.06,INERIE,1
7,001.07,KALIGEJO,1
8,001.08,KELITEI,1
9,001.09,KILA,1
10,001.10,LEGELAPU,1
11,001.11,LEKOGOKO,1
12,001.12,PAUPAGA,1
13,001.13,SEBOWULI,1
14,001.14,WAEBELA,1
15,001.15,WAESAE,1
16,001.16,WARUPELE I,1
17,001.17,WARUPELE II,1
18,002.01,BAJAWA,2
19,002.02,BEIWALI,2
20,002.03,BEJA,2
21,002.04,BELA,2
22,002.05,BOMARI,2
23,002.06,BORANI,2
24,002.07,BOWALI,2
25,002.08,FAOBATA,2
26,002.09,JAWAMEZE,2
27,002.10,KISANATA,2
28,002.11,LEBIJAGA,2
29,002.12,LENGAGEDHA,2
30,002.13,NARU,2
31,002.14,NGEDUKELU,2
32,002.15,NGORANALE,2
33,002.16,PAPE,2
34,002.17,SUSU,2
35,002.18,TANALODU,2
36,002.19,TRIKORA,2
37,002.20,UBEDOLUMOLO,2
38,002.21,UBEDOLUMOLO I,2
39,002.22,WAOWAE,2
40,003.01,GENAMERE,3
41,003.02,INEGENA,3
42,003.03,INELIKA,3
43,003.04,NABELENA,3
44,003.05,TURAMURI,3
45,003.06,ULUWAE,3
46,003.07,ULUWAE I,3
47,003.08,ULUWAE II,3
48,003.09,WAEWEA,3
49,003.10,WATUKAPU,3
50,003.11,WOLOLIKA,3
51,004.01,BEAPAWE,4
52,004.02,BOBA,4
53,004.03,BOBA I,4
54,004.04,DADAWEA,4
55,004.05,EKOROKA,4
56,004.06,KEZEWEA,4
57,004.07,MANALUZA,4
58,004.08,MANGULEWA,4
59,004.09,MATALOKO,4
60,004.10,NIRMALA,4
61,004.11,RADABATA,4
62,004.12,RADAMASA,4
63,004.13,RAKALABA,4
64,004.14,RAKATEDA I,4
65,004.15,RAKATEDA II,4
66,004.16,RATOGESA,4
67,004.17,SADHA,4
68,004.18,SANGADETO,4
69,004.19,SARASEDU,4
70,004.20,SOBO,4
71,004.21,SOBO I,4
72,004.22,TAKATUNGA,4
73,004.23,TODABELU,4
74,004.24,TUREKISA,4
75,004.25,ULUBELU,4
76,004.26,WAEIA,4
77,004.27,WERE,4
78,004.28,WERE I,4
79,004.29,WERE II,4
80,004.30,WERE III,4
81,004.31,WERE IV,4
82,004.32,WOGOWELA,4
83,005.01,BEAPAWE,5
84,005.02,DIJI KEDHA,5
85,005.03,MANGULEWA,5
86,005.04,RAKALABA,5
87,005.05,RAKATEDA I,5
88,005.06,RAKATEDA II,5
89,005.07,SOBO,5
90,005.08,SOBO I,5
91,005.09,TUREKISA,5
92,005.10,WATUNAY,5
93,006.01,BOBA,6
94,006.02,BOBA I,6
95,006.03,KEZEWEA,6
96,006.04,NIRMALA,6
97,006.05,RADAMASA,6
98,006.06,SADHA,6
99,006.07,TAKATUNGA,6
100,006.08,WERE II,6
101,006.09,WERE III,6
102,006.10,WOGOWELA,6
103,007.01,INERIE,7
104,007.02,KELITEI,7
105,007.03,MANUBHARA,7
106,007.04,PAUPAGA,7
107,007.05,SEBOWULI,7
108,007.06,TIWURANA,7
109,007.07,WAEBELA,7
110,007.08,WARUPELE I,7
111,007.09,WARUPELE II,7
112,008.01,BELA,8
113,008.02,DARIWALI,8
114,008.03,DARIWALI I,8
115,008.04,LEGERIWU,8
116,008.05,MANUBHARA,8
117,008.06,NARUWOLO,8
118,008.07,NARUWOLO I,8
119,008.08,NEWOWEA,8
120,008.09,NIO LEWA,8
121,008.10,TIWORIWU,8
122,008.11,TIWORIWU I,8
123,008.12,WATUMANU,8
124,009.01,BENTENG TENGAH,9
125,009.02,LATUNG,9
126,009.03,LENGKOSAMBI,9
127,009.04,LENGKOSAMBI BARAT,9
128,009.05,LENGKOSAMBI TIMUR,9
129,009.06,LENGKOSAMBI UTARA,9
130,009.07,NANGAMEZE,9
131,009.08,RAWANGKALO,9
132,009.09,SAMBINASI,9
133,009.10,SAMBINASI BARAT,9
134,009.11,TADHO,9
135,009.12,TAEN TERONG,9
136,009.13,TAEN TERONG I,9
137,009.14,TAEN TERONG II,9
138,009.15,WANGKA,9
139,009.16,WANGKA SELATAN,9
140,010.01,BENTENG TAWA,10
141,010.02,LANAMAI,10
142,010.03,NGARA,10
143,010.04,RIA,10
144,010.05,RIA I,10
145,010.06,TAEN TERONG I,10
146,010.07,TAEN TERONG II,10
147,010.08,TAENG TERONG,10
148,010.09,WOLOMESE II,10
149,010.10,WOLOMEZE,10
150,011.01,BOGOBOA,11
151,011.02,LIBUNIO,11
152,011.03,LOA,11
153,011.04,MANGERUDA,11
154,011.05,MASU,11
155,011.06,MASU KEDHI,11
156,011.07,MASUMELI,11
157,011.08,MELIWARU,11
158,011.09,MENGERUDA,11
159,011.10,NGABHEO,11
160,011.11,PIGA,11
161,011.12,PIGA I,11
162,011.13,SESO,11
163,011.14,TARAWAJA,11
164,011.15,TARAWALI,11
165,011.16,WAEPANA,11
166,012.01,DENATANA,12
167,012.02,DENATANA TIMUR,12
168,012.03,MAINAI,12
169,012.04,NGINAMANU,12
170,012.05,NGINAMANU BARAT,12
171,012.06,NGINAMANU SELATAN,12
172,012.07,TURALOA,12
173,012.08,WUE,12
